section,task,policy,metric,value,unit,note
MC_LAST_LAYER,square,bc,state-aware.episode_cluster_bootstrap_ci_low,14.741882887482642,diagnostic,episode-cluster bootstrap lower bound; proxy contribution CI
MC_LAST_LAYER,square,bc,state-aware.episode_cluster_bootstrap_ci_high,31.252528943121423,diagnostic,episode-cluster bootstrap upper bound; proxy contribution CI
MC_LAST_LAYER,square,bc,oracle.mse,0.043497009582952086,diagnostic,200 draws; M=50% of 640 items; last-layer gradient proxy
MC_LAST_LAYER,square,bc,oracle.mse_ratio_to_uniform,0.6001432841225226,diagnostic,200 draws; M=50% of 640 items; last-layer gradient proxy
MC_LAST_LAYER,square,bc,oracle.gradient_bias_norm,0.013647351716762573,diagnostic,200 draws; M=50% of 640 items; last-layer gradient proxy
MC_LAST_LAYER,square,bc,oracle.mse_se,0.0003231353939400224,diagnostic,200 draws; M=50% of 640 items; last-layer gradient proxy
MC_LAST_LAYER,square,bc,oracle.gradient_second_moment,0.07734302289241177,diagnostic,200 draws; M=50% of 640 items; last-layer gradient proxy
MC_LAST_LAYER,square,bc,oracle.ess_mean,222.7492894229589,diagnostic,200 draws; M=50% of 640 items; last-layer gradient proxy
MC_LAST_LAYER,square,bc,oracle.weight_min,0.22175115095661427,diagnostic,200 draws; M=50% of 640 items; last-layer gradient proxy
MC_LAST_LAYER,square,bc,oracle.weight_max,4.790853431102662,diagnostic,200 draws; M=50% of 640 items; last-layer gradient proxy
MC_LAST_LAYER,square,bc,oracle.episode_cluster_bootstrap_ci_low,14.757212777435779,diagnostic,episode-cluster bootstrap lower bound; proxy contribution CI
MC_LAST_LAYER,square,bc,oracle.episode_cluster_bootstrap_ci_high,31.697624821960922,diagnostic,episode-cluster bootstrap upper bound; proxy contribution CI
THETA,square,bc,theta_old.ratio_mean,1.0,ratio,offline diagnostic update
THETA,square,bc,theta_old.clip_active_fraction,0.0,fraction,offline diagnostic update
THETA,square,bc,after_1_diagnostic_update.ratio_mean,0.9938351511955261,ratio,offline diagnostic update
THETA,square,bc,after_1_diagnostic_update.clip_active_fraction,0.831250011920929,fraction,offline diagnostic update
THETA,square,bc,after_3_diagnostic_update.ratio_mean,0.9850814938545227,ratio,offline diagnostic update
THETA,square,bc,after_3_diagnostic_update.clip_active_fraction,0.909375011920929,fraction,offline diagnostic update
MC_LAST_LAYER,square,ft,uniform.mse,0.03085277667298972,diagnostic,200 draws; M=50% of 640 items; last-layer gradient proxy
MC_LAST_LAYER,square,ft,uniform.mse_ratio_to_uniform,1.0,diagnostic,200 draws; M=50% of 640 items; last-layer gradient proxy
MC_LAST_LAYER,square,ft,uniform.gradient_bias_norm,0.011616476051160365,diagnostic,200 draws; M=50% of 640 items; last-layer gradient proxy
MC_LAST_LAYER,square,ft,uniform.mse_se,0.0003673240757090964,diagnostic,200 draws; M=50% of 640 items; last-layer gradient proxy
MC_LAST_LAYER,square,ft,uniform.gradient_second_moment,0.045821543482593347,diagnostic,200 draws; M=50% of 640 items; last-layer gradient proxy
MC_LAST_LAYER,square,ft,uniform.ess_mean,319.99999999999994,diagnostic,200 draws; M=50% of 640 items; last-layer gradient proxy
MC_LAST_LAYER,square,ft,uniform.weight_min,1.0,diagnostic,200 draws; M=50% of 640 items; last-layer gradient proxy
MC_LAST_LAYER,square,ft,uniform.weight_max,1.0,diagnostic,200 draws; M=50% of 640 items; last-layer gradient proxy
MC_LAST_LAYER,square,ft,uniform.episode_cluster_bootstrap_ci_low,7.087035181373357,diagnostic,episode-cluster bootstrap lower bound; proxy contribution CI
MC_LAST_LAYER,square,ft,uniform.episode_cluster_bootstrap_ci_high,12.35487502887845,diagnostic,episode-cluster bootstrap upper bound; proxy contribution CI
MC_LAST_LAYER,square,ft,timestep-only.mse,0.025817895459273106,diagnostic,200 draws; M=50% of 640 items; last-layer gradient proxy
MC_LAST_LAYER,square,ft,timestep-only.mse_ratio_to_uniform,0.8368094623352187,diagnostic,200 draws; M=50% of 640 items; last-layer gradient proxy
MC_LAST_LAYER,square,ft,timestep-only.gradient_bias_norm,0.011467595947899574,diagnostic,200 draws; M=50% of 640 items; last-layer gradient proxy
MC_LAST_LAYER,square,ft,timestep-only.mse_se,0.0002489747802343916,diagnostic,200 draws; M=50% of 640 items; last-layer gradient proxy
MC_LAST_LAYER,square,ft,timestep-only.gradient_second_moment,0.04056633980956667,diagnostic,200 draws; M=50% of 640 items; last-layer gradient proxy
MC_LAST_LAYER,square,ft,timestep-only.ess_mean,284.00097447382535,diagnostic,200 draws; M=50% of 640 items; last-layer gradient proxy
MC_LAST_LAYER,square,ft,timestep-only.weight_min,0.609501998363304,diagnostic,200 draws; M=50% of 640 items; last-layer gradient proxy
MC_LAST_LAYER,square,ft,timestep-only.weight_max,1.5663318564405453,diagnostic,200 draws; M=50% of 640 items; last-layer gradient proxy
MC_LAST_LAYER,square,ft,timestep-only.episode_cluster_bootstrap_ci_low,7.184215240925551,diagnostic,episode-cluster bootstrap lower bound; proxy contribution CI
MC_LAST_LAYER,square,ft,timestep-only.episode_cluster_bootstrap_ci_high,12.501864966750144,diagnostic,episode-cluster bootstrap upper bound; proxy contribution CI
MC_LAST_LAYER,square,ft,state-aware.mse,0.05162867514519433,diagnostic,200 draws; M=50% of 640 items; last-layer gradient proxy
MC_LAST_LAYER,square,ft,state-aware.mse_ratio_to_uniform,1.6733882882701125,diagnostic,200 draws; M=50% of 640 items; last-layer gradient proxy
MC_LAST_LAYER,square,ft,state-aware.gradient_bias_norm,0.015072137569075014,diagnostic,200 draws; M=50% of 640 items; last-layer gradient proxy
MC_LAST_LAYER,square,ft,state-aware.mse_se,0.0007296764950801613,diagnostic,200 draws; M=50% of 640 items; last-layer gradient proxy
MC_LAST_LAYER,square,ft,state-aware.gradient_second_moment,0.06672167467160511,diagnostic,200 draws; M=50% of 640 items; last-layer gradient proxy
MC_LAST_LAYER,square,ft,state-aware.ess_mean,95.4107705380589,diagnostic,200 draws; M=50% of 640 items; last-layer gradient proxy
MC_LAST_LAYER,square,ft,state-aware.weight_min,0.16225062128050285,diagnostic,200 draws; M=50% of 640 items; last-layer gradient proxy
MC_LAST_LAYER,square,ft,state-aware.weight_max,4.958749413101094,diagnostic,200 draws; M=50% of 640 items; last-layer gradient proxy
MC_LAST_LAYER,square,ft,state-aware.episode_cluster_bootstrap_ci_low,7.1178919017314914,diagnostic,episode-cluster bootstrap lower bound; proxy contribution CI
MC_LAST_LAYER,square,ft,state-aware.episode_cluster_bootstrap_ci_high,12.499558390676976,diagnostic,episode-cluster bootstrap upper bound; proxy contribution CI
MC_LAST_LAYER,square,ft,oracle.mse,0.020311573197050695,diagnostic,200 draws; M=50% of 640 items; last-layer gradient proxy
MC_LAST_LAYER,square,ft,oracle.mse_ratio_to_uniform,0.6583385804245167,diagnostic,200 draws; M=50% of 640 items; last-layer gradient proxy
MC_LAST_LAYER,square,ft,oracle.gradient_bias_norm,0.00975165456414481,diagnostic,200 draws; M=50% of 640 items; last-layer gradient proxy
MC_LAST_LAYER,square,ft,oracle.mse_se,0.00014526029040739144,diagnostic,200 draws; M=50% of 640 items; last-layer gradient proxy
MC_LAST_LAYER,square,ft,oracle.gradient_second_moment,0.03544944784740899,diagnostic,200 draws; M=50% of 640 items; last-layer gradient proxy
