task,checkpoint,split,episode,boundary,direction,target_budget,actual_budget,metric_name,noise_block,sample_count,value
square,/mnt/d/AgentData/DPPO-P5-A/formal_run_20260914_074500/robomimic-finetune/square_ft_diffusion_mlp_ta4_td20_tdf10/2026-09-14_07-43-43_42/checkpoint/state_200.pt,FIT,6,0,D_all,0.001,9.572505950927734e-05,gaussian_kl_sum,none,1,0.026803016662597656
square,/mnt/d/AgentData/DPPO-P5-A/formal_run_20260914_074500/robomimic-finetune/square_ft_diffusion_mlp_ta4_td20_tdf10/2026-09-14_07-43-43_42/checkpoint/state_200.pt,FIT,6,0,D_all,0.001,9.572505950927734e-05,gaussian_kl_mean,none,1,9.572505950927734e-05
square,/mnt/d/AgentData/DPPO-P5-A/formal_run_20260914_074500/robomimic-finetune/square_ft_diffusion_mlp_ta4_td20_tdf10/2026-09-14_07-43-43_42/checkpoint/state_200.pt,FIT,6,0,D_all,0.001,9.572505950927734e-05,gaussian_kl_max_step,none,1,9.572506678523496e-05
square,/mnt/d/AgentData/DPPO-P5-A/formal_run_20260914_074500/robomimic-finetune/square_ft_diffusion_mlp_ta4_td20_tdf10/2026-09-14_07-43-43_42/checkpoint/state_200.pt,FIT,6,0,D_all,0.001,9.572505950927734e-05,gaussian_kl_exec_normalized,none,1,9.572505950927734e-05
square,/mnt/d/AgentData/DPPO-P5-A/formal_run_20260914_074500/robomimic-finetune/square_ft_diffusion_mlp_ta4_td20_tdf10/2026-09-14_07-43-43_42/checkpoint/state_200.pt,FIT,6,0,D_all,0.001,9.572505950927734e-05,direct_mu_l2_normalized,none,1,0.002237149281427264
square,/mnt/d/AgentData/DPPO-P5-A/formal_run_20260914_074500/robomimic-finetune/square_ft_diffusion_mlp_ta4_td20_tdf10/2026-09-14_07-43-43_42/checkpoint/state_200.pt,FIT,6,0,D_all,0.001,9.572505950927734e-05,fixed_tape_action_l2,paired,64,1.7671885871095583e-05
square,/mnt/d/AgentData/DPPO-P5-A/formal_run_20260914_074500/robomimic-finetune/square_ft_diffusion_mlp_ta4_td20_tdf10/2026-09-14_07-43-43_42/checkpoint/state_200.pt,FIT,6,0,D_all,0.001,9.572505950927734e-05,reference_mmd2_unbiased,A,64,-0.0003057812887524802
square,/mnt/d/AgentData/DPPO-P5-A/formal_run_20260914_074500/robomimic-finetune/square_ft_diffusion_mlp_ta4_td20_tdf10/2026-09-14_07-43-43_42/checkpoint/state_200.pt,FIT,6,0,D_all,0.001,9.572505950927734e-05,reference_mmd2_unbiased,B,64,0.0021150377061631945
square,/mnt/d/AgentData/DPPO-P5-A/formal_run_20260914_074500/robomimic-finetune/square_ft_diffusion_mlp_ta4_td20_tdf10/2026-09-14_07-43-43_42/checkpoint/state_200.pt,FIT,6,0,D_all,0.001,9.572505950927734e-05,reference_energy_distance,A,64,-0.00016449935852536068
square,/mnt/d/AgentData/DPPO-P5-A/formal_run_20260914_074500/robomimic-finetune/square_ft_diffusion_mlp_ta4_td20_tdf10/2026-09-14_07-43-43_42/checkpoint/state_200.pt,FIT,6,0,D_all,0.001,9.572505950927734e-05,reference_energy_distance,B,64,0.001120172322742502
